id,name
1,Смартфоны бренда Apple
2,Смартфоны бренда Samsung
3,Смартфоны бренда Xiaomi
4,Смартфоны бренда Honor
5,Смартфоны бренда Infinix
6,Смартфоны бренда Poco
7,Кнопочные телефоны бренда Nokia
8,Кнопочные телефоны бренда Novey
9,Кнопочные телефоны бренда Samsung
11,Планшеты бренда Samsung
12,Планшеты бренда Xiaomi
13,Планшеты бренда Apple
14,Наушники бренда Xiaomi
15,Наушники бренда Apple
16,Наушники бренда Samsung
17,Наушники бренда Sony
18,Наушники бренда Marshall
19,Наушники бренда JBL
20,Колонка бренда JBL
21,Колонка бренда Яндекс
22,Ноутбуки бренда Apple
23,Часы бренда Amazfit
24,Часы бренда Samsung
25,Часы бренда Xiaomi
26,Часы бренда Apple
27,Часы бренда Huawei
28,Часы бренда Whoop
29,Планшеты бренда Huawei
30,Наушники бренда Huawei
31,Наушники бренда Anker
32,Часы бренда Haylou
33,Часы бренда Mibro
34,Часы бренда Porodo
35,Датчик умного дома Бренда Яндекс
36,ТВ Бокс Бренда Яндекс
37,Adapter и USB Бренда Samsung
38,Adapter и USB Бренда Apple
39,Adapter и USB Бренда Xiaomi
40,Adapter и USB Бренда Baseus
41,Car Charger Бренда Samsung
42,Car Charger Бренда Xiaomi
43,Хард БрендаTranscend
44,Камера Бренда Xiaomi
45,Мышь Бренда Xiaomi
46,Мышь Бренда Apple
47,Стабилизатор камеры Бренда Dji
48,Tag Бренда Samsung
49,Tag Бренда Apple
50,VR Очки Бренда Apple
51,VR Очки Бренда Meta
52,Кнопочные телефоны бренда LG
53,Power Bank бренда Apple
54,Power Bank бренда Xiaomi
55,Power Bank бренда Belkin
56,Power Bank бренда Anker
57,Power Bank бренда Baseus
58,Power Bank бренда Samsung
59,Клавиатура бренда Apple
60,Клавиатура бренда Xiaomi
61,Клавиатура бренда Samsung
62,Микрафон бренда Saramonic
63,Pencil бренда Samsung
64,Pencil бренда Apple
65,Pencil бренда Xiaomi
66,ТВ Бокс бренда Xiaomi
67,ТВ Бокс бренда Apple
68,Wifi бренда Xiaomi
69,Wifi бренда Tp - Link
70,Wifi бренда D - Link
71,Смартфоны бренда Tecno
72,Ноутбуки бренда LENOVO
73,Ноутбуки бренда HP
74,Ноутбуки бренда MSI
75,Ноутбуки бренда DELL
76,Ноутбуки бренда ACER
77,Ноутбуки бренда ASUS
78,"Фены, Стайлеры и Выпрямители бренда Dyson"
79,Наушники бренда Nothing
80,Часы бренда Nothing
81,Смартфоны бренда Nothing
82,Очиститель воздуха Dyson
83,Пылесосы Dyson
84,Фен Dyson
85,Стайлеры и утюжки Dyson
86,Расческа
87,Утюжок (Corrale) Dyson
88,Стайлер (Airwrap) Dyson
89,Стайлер-выпрямитель (Airstrait) Dyson
90,PlayStation Store
91,Belkin Зарядные станции
92,Наушники бренда Dyson
93,Пылесосы бренда Xiaomi
94,Очиститель/Увложнитель воздуха Xiaomi
95,Пылесосы бренда Deerma
96,Очиститель/Увложнитель воздуха Deerma
97,Увложнитель воздуха Xiaomi
98,Увложнитель воздуха Deerma
99,Фен воздуха Deerma
100,Кнопочные телефоны бренда Duoqin
101,Хард Бренда Seagate
102,Хард Бренда Toshiba
103,SSD Бренда SanDisk
104,MicroSD Бренда SanDisk
105,Умное кольцо Бренда iQibla
106,Продукция Бренда Insta360
107,Камеры Бренда GoPro
109,Моментальные фотоаппараты
110,Ремешки Для Часов
111,Наушники бренда Beats
112,Колонка бренда Apple
113,Планшеты бренда Oteeto
114,Принтер бренда Xiaomi
115,Наушники бренда Honor
116,Рация бренда Xiaomi
117,Комаютеры бренда Apple
118,USB Бренда SanDisk
119,Смартфоны бренда Huawei
120,Очки бренда Ray-Ban Meta
121,Смартфоны бренда Google Pixel
122,Диктофон бренда Plaud
123,Диктофон бренда Hollyland
124,Очки бренда Oakley Meta
125,SSD Бренда Lexar
126,Приставка Xbox
127,Фитнес-браслеты Fitbit
128,Наушники бренда Shokz
129,SSD бренда Ares
