model_id,min_price_old,min_price_new,date,status
1,,31.0,2025-04-29,None
2,,,,None
3,25.0,28.0,2026-06-22,None
4,31.0,30.0,2026-02-23,None
5,80.0,78.0,2026-07-22,Down
6,,225.0,2024-09-06,None
7,,,,None
8,,10.0,2026-02-23,None
9,138.0,128.0,2025-02-16,None
10,138.0,128.0,2025-02-16,None
11,88.0,90.0,2026-06-20,None
12,130.0,90.0,2026-06-20,None
13,88.0,90.0,2026-06-20,None
14,,145.0,2024-11-09,None
15,142.0,145.0,2024-11-09,None
16,,145.0,2024-11-09,None
17,,145.0,2024-11-09,None
18,,,,None
19,,135.0,2026-02-04,None
20,,,,None
21,,,,None
22,,135.0,2026-02-04,None
23,,,,None
24,42.0,40.0,2026-02-12,None
25,,,,None
26,,,,None
27,,,,None
28,145.0,150.0,2026-07-18,None
29,145.0,150.0,2026-07-18,None
30,,,,None
31,,,,None
32,,,,None
33,,140.0,2026-02-09,None
34,85.0,90.0,2024-12-23,None
35,85.0,90.0,2024-12-23,None
36,,,,None
37,,,,None
38,135.0,40.0,2026-02-12,None
39,,,,None
40,,160.0,2026-02-09,None
41,,,,None
42,,,,None
43,,,,None
44,,,,None
45,145.0,148.0,2025-01-22,None
46,145.0,148.0,2025-01-22,None
47,105.0,140.0,2026-02-21,None
48,,,,None
49,,,,None
50,,,,None
51,,,,None
52,,,,None
53,,,,None
54,,57.0,2024-08-14,None
55,85.0,90.0,2024-12-23,None
56,,,,None
57,,,,None
58,,,,None
59,85.0,90.0,2024-12-23,None
60,100.0,50.0,2025-06-26,None
61,,,,None
62,,300.0,2025-06-26,None
63,,200.0,2025-06-26,None
64,,,,None
65,,,,None
66,,,,None
67,,,,None
68,,,,None
69,,,,None
70,,,,None
71,,,,None
72,,,,None
73,,,,None
74,,,,None
75,,,,None
76,590.0,600.0,2026-06-20,None
77,,,,None
78,620.0,580.0,2026-02-18,None
79,,670.0,2025-07-28,None
80,,,,None
81,,,,None
82,,,,None
83,,,,None
84,,,,None
85,,,,None
86,,,,None
87,,,,None
88,,,,None
89,,,,None
90,,,,None
91,,,,None
92,100.0,50.0,2025-06-26,None
93,200.0,250.0,2025-06-26,None
94,,,,None
95,,,,None
96,,300.0,2025-06-26,None
97,,,,None
98,,,,None
99,,,,None
100,,,,None
101,,,,None
102,,,,None
103,,,,None
104,,,,None
105,,,,None
106,,,,None
107,,,,None
108,,,,None
109,380.0,370.0,2025-02-04,None
110,,,,None
111,,,,None
112,,,,None
113,,,,None
114,380.0,370.0,2025-02-04,None
115,400.0,390.0,2025-10-06,None
116,,,,None
117,,,,None
118,,,,None
119,,,,None
120,400.0,390.0,2025-10-06,None
121,,,,None
122,,,,None
123,,,,None
124,,,,None
125,,,,None
126,,,,None
127,645.0,650.0,2026-06-29,None
128,645.0,650.0,2026-06-29,None
129,700.0,690.0,2025-12-07,None
130,715.0,700.0,2024-11-27,None
131,675.0,660.0,2026-05-02,None
132,830.0,860.0,2024-10-22,None
133,830.0,860.0,2024-10-22,None
134,830.0,800.0,2024-11-21,None
135,860.0,800.0,2024-11-05,None
136,900.0,860.0,2025-10-01,None
137,,,,None
138,,,,None
139,,,,None
140,,,,None
141,,,,None
142,,,,None
143,,,,None
144,,,,None
145,,,,None
146,,,,None
147,,,,None
148,,,,None
149,,,,None
150,,,,None
151,,,,None
152,,,,None
153,,,,None
154,,,,None
155,,,,None
156,,,,None
157,,,,None
158,,,,None
159,,,,None
160,,,,None
161,,,,None
162,,,,None
163,,,,None
164,,,,None
165,,,,None
166,,,,None
167,,,,None
168,,,,None
169,,,,None
170,,,,None
171,,,,None
172,,,,None
173,,,,None
174,,,,None
175,,,,None
176,,,,None
177,,,,None
178,,,,None
179,,,,None
180,,,,None
181,,,,None
182,,,,None
183,,,,None
184,,,,None
185,,,,None
186,,,,None
187,,,,None
188,,,,None
189,530.0,550.0,2026-07-13,None
190,530.0,550.0,2026-07-13,None
191,500.0,510.0,2026-02-07,None
192,560.0,580.0,2025-09-05,None
193,,510.0,2025-06-11,None
194,,,,None
195,,,,None
196,,,,None
197,,,,None
198,,,,None
199,,,,None
200,,,,None
201,,,,None
202,,,,None
203,,,,None
204,900.0,800.0,2025-03-18,None
205,920.0,900.0,2024-10-10,None
206,920.0,900.0,2024-10-10,None
207,920.0,900.0,2024-10-10,None
208,900.0,820.0,2025-03-18,None
209,1120.0,1100.0,2024-10-10,None
210,1120.0,1100.0,2024-10-10,None
211,1120.0,1100.0,2024-10-10,None
212,1120.0,1100.0,2024-10-10,None
213,1120.0,1100.0,2024-10-16,None
214,,,,None
215,,,,None
216,,,,None
217,,,,None
218,,,,None
219,980.0,930.0,2024-12-03,None
220,980.0,900.0,2024-11-27,None
221,980.0,930.0,2024-12-03,None
222,940.0,930.0,2024-11-27,None
223,1100.0,1050.0,2024-11-05,None
224,1040.0,1050.0,2024-11-11,None
225,1100.0,1050.0,2024-11-05,None
226,1080.0,1100.0,2024-12-12,None
227,,,,None
228,,1100.0,2025-02-11,None
229,,,,None
230,,,,None
231,,830.0,2024-08-14,None
232,830.0,720.0,2025-03-18,None
233,,830.0,2024-08-14,None
234,,830.0,2024-08-14,None
235,,830.0,2024-08-14,None
236,,1020.0,2024-08-14,None
237,,1020.0,2024-08-14,None
238,,1020.0,2024-08-14,None
239,,1020.0,2024-08-14,None
240,,1020.0,2024-08-14,None
241,,,,None
242,,,,None
243,,,,None
244,,,,None
245,,,,None
246,,,,None
247,,,,None
248,,,,None
249,,,,None
250,,,,None
251,,,,None
252,,,,None
253,,,,None
254,,,,None
255,970.0,950.0,2024-10-30,None
256,970.0,950.0,2024-10-30,None
257,970.0,950.0,2024-10-30,None
258,1000.0,980.0,2024-11-27,None
259,1060.0,1040.0,2024-10-22,None
260,1060.0,1050.0,2024-10-22,None
261,1060.0,1040.0,2024-10-22,None
262,1070.0,1090.0,2024-10-07,None
263,,,,None
264,,,,None
265,,,,None
266,,,,None
267,750.0,620.0,2025-03-18,None
268,760.0,750.0,2024-09-12,None
269,750.0,620.0,2025-03-18,None
270,760.0,750.0,2024-09-12,None
271,760.0,750.0,2024-09-12,None
272,,920.0,2024-08-14,None
273,,920.0,2024-08-14,None
274,,920.0,2024-08-14,None
275,,920.0,2024-08-14,None
276,920.0,900.0,2025-01-21,None
277,,,,None
278,,,,None
279,,,,None
280,,,,None
281,,,,None
282,,,,None
283,,,,None
284,,,,None
285,,,,None
286,,,,None
287,,,,None
288,,,,None
289,,,,None
290,,,,None
291,,,,None
292,,,,None
293,,,,None
294,,,,None
295,,,,None
296,,,,None
297,,,,None
298,1100.0,1000.0,2025-03-12,None
299,1100.0,1050.0,2025-03-12,None
300,1100.0,1000.0,2025-03-12,None
301,1110.0,1050.0,2025-03-12,None
302,1220.0,1200.0,2025-01-04,None
303,1270.0,1250.0,2024-12-12,None
304,1220.0,1200.0,2025-01-04,None
305,1350.0,1250.0,2024-12-12,None
306,,,,None
307,,,,None
308,,,,None
309,,,,None
310,1100.0,1080.0,2025-03-12,None
311,1050.0,1100.0,2025-03-12,None
312,1100.0,1080.0,2025-03-12,None
313,1110.0,1100.0,2025-02-11,None
314,1290.0,1280.0,2024-11-22,None
315,1320.0,1300.0,2024-11-22,None
316,1320.0,1300.0,2024-11-22,None
317,1270.0,1250.0,2024-12-12,None
326,99.0,75.0,2026-02-09,None
327,,99.0,2024-08-14,None
328,,75.0,2024-08-14,None
329,,75.0,2024-08-14,None
330,,75.0,2024-08-14,None
331,42.0,133.0,2026-02-09,None
332,,42.0,2024-08-14,None
333,155.0,105.0,2024-08-16,None
334,105.0,100.0,2025-02-16,None
335,155.0,105.0,2024-08-16,None
336,165.0,120.0,2024-08-16,None
337,165.0,120.0,2024-08-16,None
